,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
1034,87.0,14.000000000000002,0.0,49.0,34.0,27.0,127.0,14.000000000000002,38.0,6.0,13.0,45.0,12.0,6.0,4.0,28.999999999999996,25.0,106.0,28.000000000000004,5.0,39.0,14.000000000000002,whole milk powder,Milk and dairy products/Milk,Dairy product,not_vegan,22,100.0,50.0,12.67
1035,13.0,2.0,0.0,6.0,7.000000000000001,2.0,19.0,2.0,8.0,1.0,2.0,5.0,1.0,0.0,1.0,4.0,3.0,12.0,3.0,0.0,5.0,2.0,whole milk pasteurized,Milk and dairy products/Milk,Dairy product,not_vegan,7,100.0,5.78,1.59
1036,14.000000000000002,2.0,0.0,6.0,7.000000000000001,2.0,20.0,2.0,4.0,1.0,1.0,6.0,1.0,0.0,1.0,4.0,3.0,12.0,3.0,0.0,5.0,2.0,whole milk uht,Milk and dairy products/Milk,Dairy product,not_vegan,7,100.0,5.78,1.59
1037,4.0,11.0,18.0,12.0,0.0,27.0,4.0,6.0,0.0,11.0,4.0,6.0,0.0,0.0,1.0,3.0,28.000000000000004,2.0,15.0,9.0,18.0,0.0,wholemeal pasta eggfree cooked in salted water ,"Cereal products, pulses and potatoes/Pasta",Cereal,vegan,13,100.0,10.3,2.17
1038,8.0,24.0,38.0,25.0,0.0,67.0,10.0,14.000000000000002,0.0,26.0,13.0,13.0,0.0,0.0,2.0,10.0,0.0,3.0,39.0,26.0,38.0,0.0,wholemeal pasta eggfree dry,"Cereal products, pulses and potatoes/Pasta",Cereal,vegan,16,100.0,23.12,4.88
1039,9.0,33.0,14.000000000000002,15.0,0.0,6.0,15.0,11.0,0.0,65.0,7.000000000000001,17.0,0.0,0.0,6.0,7.000000000000001,22.0,1.0,42.0,10.0,38.0,0.0,wholemeal rice waffles,"Bread, flakes and breakfast cereals/Crispbreads, rusks, crackers and wafers",Cereal,vegan,18,100.0,16.08,3.39
1040,4.0,15.0,23.0,17.0,0.0,23.0,10.0,19.0,0.0,25.0,7.000000000000001,10.0,0.0,0.0,8.0,6.0,39.0,2.0,26.0,21.0,28.000000000000004,5.0,wholewheat bread,"Bread, flakes and breakfast cereals/Bread and bread products",Cereal,vegan,17,100.0,17.09,3.61
1041,68.0,0.0,0.0,28.000000000000004,0.0,23.0,10.0,8.0,16.0,28.999999999999996,0.0,8.0,18.0,5.0,0.0,5.0,57.99999999999999,1.0,4.0,5.0,22.0,12.0,wienerli ,Sausages and cold meats/Boiled sausage products,Meat,not_vegan,15,100.0,14.07,3.23
1042,61.0,0.0,0.0,26.0,0.0,17.0,9.0,6.0,11.0,21.0,0.0,6.0,13.0,4.0,0.0,4.0,48.0,1.0,4.0,5.0,21.0,12.0,wienerli  cooked,Sausages and cold meats/Boiled sausage products,Meat,not_vegan,15,100.0,13.32,3.02
1043,11.0,0.0,0.0,39.0,1.0,10.0,18.0,28.999999999999996,125.0,42.0,2.0,12.0,0.0,0.0,2.0,9.0,6.0,1.0,7.000000000000001,12.0,28.999999999999996,0.0,wild boar raw,Meat and offal/Game,Meat,not_vegan,14,100.0,20.35,4.35
1044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,6.0,1.0,0.0,wine red  vol,Alcoholic beverages/Wine,Alcoholic beverages,vegan,1,100.0,2.01,0.42
